Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
CHIS-1152,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Numenius americanus,Long-Billed Curlew,Approved,Present,Native,Uncommon,Migratory,
CHIS-1153,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Numenius phaeopus,Whimbrel,Approved,Present,Native,Common,Migratory,Species of Concern
CHIS-1154,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Phalaropus fulicaria,Red Phalarope,Approved,Present,Native,Rare,Migratory,
CHIS-1155,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Phalaropus lobatus,Red-Necked Phalarope,Approved,Present,Native,Rare,Vagrant,
CHIS-1156,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Phalaropus tricolor,Wilson's Phalarope,Approved,Present,Native,Occasional,Vagrant,
CHIS-1157,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Tringa flavipes,Lesser Yellowlegs,Approved,Present,Native,Occasional,Vagrant,
CHIS-1158,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Tringa melanoleuca,Greater Yellowlegs,Approved,Present,Native,Rare,Vagrant,
CHIS-1159,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Tringa solitaria,Solitary Sandpiper,Approved,Present,Native,Rare,Vagrant,
CHIS-1160,Channel Islands National Park,Bird,Charadriiformes,Scolopacidae,Tryngites subruficollis,Buff-Breasted Sandpiper,Approved,Present,Native,Occasional,Vagrant,
CHIS-1161,Channel Islands National Park,Bird,Charadriiformes,Stercorariidae,Stercorarius longicaudus,Long-Tailed Jaeger,Approved,Present,Native,Occasional,Vagrant,
CHIS-1162,Channel Islands National Park,Bird,Charadriiformes,Stercorariidae,Stercorarius maccormicki,South Polar Skua,Approved,Present,Native,Occasional,Vagrant,
CHIS-1163,Channel Islands National Park,Bird,Charadriiformes,Stercorariidae,Stercorarius parasiticus,Parasitic Jaeger,Approved,Present,Native,Rare,Migratory,
CHIS-1164,Channel Islands National Park,Bird,Charadriiformes,Stercorariidae,Stercorarius pomarinus,Pomarine Jaeger,Approved,Present,Native,Occasional,Vagrant,
CHIS-1165,Channel Islands National Park,Bird,Columbiformes,Columbidae,Columba fasciata,Band-Tailed Pigeon,Approved,Present,Native,Uncommon,Migratory,
CHIS-1166,Channel Islands National Park,Bird,Columbiformes,Columbidae,Columba livia,Rock Dove,Approved,Present,Native,Rare,Breeder,
CHIS-1167,Channel Islands National Park,Bird,Columbiformes,Columbidae,Streptopelia chinensis,Spotted Dove,Approved,Present,Native,Occasional,Vagrant,
CHIS-1168,Channel Islands National Park,Bird,Columbiformes,Columbidae,Streptopelia risoria,Ringed Turtle-Dove,Approved,Present,Native,Occasional,Vagrant,
CHIS-1169,Channel Islands National Park,Bird,Columbiformes,Columbidae,Zenaida asiatica,White-Winged Dove,Approved,Present,Native,Occasional,Vagrant,
CHIS-1170,Channel Islands National Park,Bird,Columbiformes,Columbidae,Zenaida macroura,Mourning Dove,Approved,Present,Native,Uncommon,Breeder,
CHIS-1171,Channel Islands National Park,Bird,Coraciiformes,Alcedinidae,Ceryle alcyon,Belted Kingfisher,Approved,Present,Native,Uncommon,Migratory,
CHIS-1172,Channel Islands National Park,Bird,Cuculiformes,Cuculidae,Coccyzus americanus,Yellow-Billed Cuckoo,Approved,Present,Native,Occasional,Vagrant,Threatened
CHIS-1173,Channel Islands National Park,Bird,Cuculiformes,Cuculidae,Coccyzus erythropthalmus,Black-Billed Cuckoo,Approved,Present,Native,Occasional,Vagrant,Species of Concern
